字段1,name,字段3,字段4,字段5,字段6,字段7,字段8,字段9,字段10,字段11,字段12,字段13,字段14
https://yt3.ggpht.com/Vhu3TKs-PVKQiiqc8GYW8bF6SfzRhLkd-NI193PLYwFlnWkHo6UoQA71ZRKH1k0y6oZvPJtcIGuwjswLMg=s88-c-k-c0xffffffff-no-rj-mo,PNL - Topic,86,"10,517","88,866,769",,Music,"Sep 18th, 2015",B+,"728,105th","41,056th","4,385th",$2.9K - $46.3K,$34.7K - $555.5K
https://yt3.ggpht.com/a/AGF-l78lFmOGxnlvbmsfGEwNZuVqG94AlyRFqoUisQ=s88-c-k-c0xffffffff-no-rj-mo,Animal Planet,"5,143","3,834,430","1,885,020,777",US,Entertainment,"Feb 14th, 2007",B+,"2,224th","1,165th","4,386th",$11.4K - $183K,$137.2K - $2.2M
https://yt3.ggpht.com/a/AGF-l782i3y1_01miYFUGW4r5kn1KQgebgYXupF-5Q=s88-c-k-c0xffffffff-no-rj-mo,Cassio Toledo,163,"2,747,185","669,104,629",BR,Music,"Apr 17th, 2007",B+,"3,740th","4,558th","4,387th",$6K - $95.2K,$71.4K - $1.1M
https://yt3.ggpht.com/a/AGF-l7-1nNZba-D3Cj_PukHQDKAOklxUFg3FOcaVIQ=s88-c-k-c0xffffffff-no-rj-mo,Ahmed Sakr,131,"1,107,794","272,393,906",EG,Animals,"Mar 22nd, 2015",B+,"28,901,269th","13,184th","4,388th",$0 - $0,$0 - $0
https://yt3.ggpht.com/a/AGF-l78STJhm2BkLzh1XJzt7u-XRCcwtA12UjhmXqA=s88-c-k-c0xffffffff-no-rj-mo,NineEntertain Official,"25,157","1,440,681","831,377,826",TH,Entertainment,"Mar 6th, 2012",B+,"8,981st","3,450th","4,389th",$4.7K - $75.3K,$56.5K - $904.2K
https://yt3.ggpht.com/a/AGF-l7-fbZIgJAPoo9ZbLbooeEi5VnO0v-DqC62m-Q=s88-c-k-c0xffffffff-no-rj-mo,Jovita aurel,236,"971,777","148,448,010",,People,"Dec 2nd, 2015",B+,"18,434th","73,123rd","4,390th",$4.6K - $73.2K,$54.9K - $878.3K
https://yt3.ggpht.com/a/AGF-l7_hYooiiYo0FEf6YHdKhgAVibDrj9P809o57w=s88-c-k-c0xffffffff-no-rj-mo,Oki Kids Fun,858,"640,929","174,623,142",ID,Entertainment,"Nov 5th, 2015",B+,"60,195th","52,338th","4,391st",$5.5K - $87.6K,$65.7K - $1.1M
https://yt3.ggpht.com/a/AGF-l7-vQiccTrrZWfz4Vg5ekMywuRlOPz1bVZDp=s88-c-k-c0xffffffff-no-rj-mo,BROS SHOW,275,"1,176,142","323,822,767",PL,People,"Mar 28th, 2013",B+,"13,513th","12,372nd","4,392nd",$5.5K - $87.3K,$65.5K - $1M
https://yt3.ggpht.com/a/AGF-l78OTvob7QXjmOR-NOEdAAXOCGtbGwu1epk6oQ=s88-c-k-c0xffffffff-no-rj-mo,Kyutae Oppa,387,"3,350,231","400,170,707",TH,People,"Jan 5th, 2017",B+,"2,760th","8,238th","4,393rd",$7.6K - $121K,$90.8K - $1.5M
https://yt3.ggpht.com/a/AGF-l7_tgLVOsAtL7RP7HMrv3zLY3o0p77paaQPCCQ=s88-c-k-c0xffffffff-no-rj-mo,SEPL Vintage,"8,042",0,"335,856,231",IN,Entertainment,"Mar 4th, 2013",B+,"28,856,773rd","9,848th","4,394th",$7.2K - $115.6K,$86.7K - $1.4M
